Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,CountryCode,CountryName,Population,DeathsPop,CasesPop
Curaçao,16,0,1.0,0.0,11.0,4,0.0,98.0,6.0,304.0,1853.0,CUW,Curacao,159849.0,<1,10
French Guiana,111,0,1.0,0.0,87.0,23,0.0,372.0,3.0,0.0,0.0,GUF,French Guiana,290691.0,<1,38
British Virgin Islands,6,0,1.0,0.0,3.0,2,0.0,198.0,33.0,0.0,0.0,VGB,British Virgin Islands,29802.0,3,20
Botswana,22,0,1.0,0.0,0.0,21,0.0,9.0,0.4,5023.0,2136.0,BWA,Botswana,2254126.0,<1,<1
Cabo Verde,90,0,1.0,0.0,1.0,88,0.0,162.0,2.0,791.0,1423.0,CPV,Cape Verde,543767.0,<1,16
Brunei,138,0,1.0,0.0,123.0,14,2.0,315.0,2.0,12981.0,29672.0,BRN,Brunei,428962.0,<1,32
Cayman Islands,70,0,1.0,0.0,8.0,61,3.0,1065.0,15.0,940.0,14303.0,CYM,Cayman Islands,64174.0,1,109
Liechtenstein,81,0,1.0,0.0,55.0,25,0.0,2124.0,26.0,900.0,23605.0,LIE,Liechtenstein,37910.0,2,213
Eswatini,56,0,1.0,0.0,10.0,45,0.0,48.0,0.9,714.0,615.0,SWZ,Swaziland,1367000.0,<1,4
Benin,54,0,1.0,0.0,27.0,26,0.0,4.0,0.08,0.0,0.0,BEN,Benin,11485048.0,<1,<1
Greenland,11,0,0.0,0.0,11.0,0,0.0,194.0,0.0,1200.0,21138.0,GRL,Greenland,56025.0,<1,19
Seychelles,11,0,0.0,0.0,6.0,5,0.0,112.0,0.0,0.0,0.0,SYC,Seychelles,96762.0,<1,11
Uganda,75,0,0.0,0.0,46.0,29,0.0,2.0,0.0,20329.0,444.0,UGA,Uganda,42723139.0,<1,<1
Gibraltar,136,0,0.0,0.0,131.0,5,0.0,4037.0,0.0,2174.0,64528.0,GIB,Gibraltar,33718.0,<1,403
Vatican City,9,0,0.0,0.0,2.0,7,0.0,11236.0,0.0,0.0,0.0,VAT,Vatican,1000.0,<1,900
Papua New Guinea,8,0,0.0,0.0,0.0,8,0.0,0.9,0.0,604.0,68.0,PNG,Papua New Guinea,8606316.0,<1,<1
Madagascar,123,0,0.0,0.0,62.0,61,1.0,4.0,0.0,2357.0,85.0,MDG,Madagascar,26262368.0,<1,<1
Macao,45,0,0.0,0.0,31.0,14,1.0,69.0,0.0,0.0,0.0,MAC,Macao,449198.0,<1,10
Cambodia,122,0,0.0,0.0,117.0,5,1.0,7.0,0.0,5768.0,345.0,KHM,Cambodia,16249798.0,<1,<1
St. Barth,6,0,0.0,0.0,6.0,0,0.0,607.0,0.0,0.0,0.0,BLM,Saint Barthelemy,8450.0,<1,71
South Sudan,6,+1,0.0,0.0,0.0,6,0.0,0.5,0.0,0.0,0.0,SSD,South Sudan,10975920.0,<1,<1
Western Sahara,6,0,0.0,0.0,5.0,1,0.0,10.0,0.0,0.0,0.0,ESH,Western Sahara,273008.0,<1,2
Caribbean Netherlands,5,0,0.0,0.0,0.0,5,0.0,191.0,0.0,110.0,4195.0,0,0,0.0,<1,<1
Sao Tome and Principe,4,0,0.0,0.0,0.0,4,0.0,18.0,0.0,19.0,87.0,STP,Sao Tome and Principe,211028.0,<1,1
Anguilla,3,0,0.0,0.0,1.0,2,0.0,200.0,0.0,0.0,0.0,AIA,Anguilla,13254.0,<1,22
Saint Pierre Miquelon,1,0,0.0,0.0,0.0,1,0.0,173.0,0.0,0.0,0.0,SPM,Saint Pierre and Miquelon,7012.0,<1,14
Yemen,1,0,0.0,0.0,1.0,0,0.0,0.03,0.0,120.0,4.0,YEM,Yemen,28498687.0,<1,<1
Vietnam,270,0,0.0,0.0,225.0,45,8.0,3.0,0.0,206253.0,2119.0,VNM,Vietnam,95540395.0,<1,<1
Bhutan,7,0,0.0,0.0,4.0,3,0.0,9.0,0.0,9791.0,12689.0,BTN,Bhutan,754394.0,<1,<1
French Polynesia,57,0,0.0,0.0,41.0,16,1.0,203.0,0.0,2069.0,7365.0,PYF,French Polynesia,277679.0,<1,20
Mozambique,70,0,0.0,0.0,12.0,58,0.0,2.0,0.0,1575.0,50.0,MOZ,Mozambique,29495962.0,<1,<1
Eritrea,39,0,0.0,0.0,13.0,26,0.0,11.0,0.0,0.0,0.0,ERI,Eritrea,5792984.0,<1,<1
